Date,Tournament,Court,Surface,Wrank,Lrank,Wage,Lage,Wheight,Lheight,Wtitles,Ltitles,Wh2h,Lh2h,winner_hand,loser_hand,winner_weight,loser_weight,winner_YTD_Won_Lost,loser_YTD_Won_Lost,winner_YTD_Titles,loser_YTD_Titles,winner_CAREER_W_L,loser_CAREER_W_L,winner_Career_Prize_Money,loser_Career_Prize_Money,Winner,Loser
2019.07.01,London,Outdoor,Grass,54,1325,28,31,180,193,0,0,0,0,R,R,170,194,11/19,0/0,0,0,46/55,3/6,"$2,311,726","$386,886",Marcos Giron,Viktor Galovic
2019.07.01,London,Outdoor,Grass,390,622,34,32,183,183,0,0,0,0,L,L,165,175,0/0,0/0,0,0,30/61,124/190,"$2,231,442","$4,675,907",Ruben Bemelmans,Donald Young
2019.07.01,London,Outdoor,Grass,198,251,34,27,180,191,0,0,0,0,L,R,158,190,0/0,0/0,0,0,4/10,0/1,"$969,054","$353,019",Andrea Arnaboldi,Evgeny Karlovskiy
2019.07.01,London,Outdoor,Grass,320,315,33,36,175,193,1,2,0,1,R,R,159,182,0/0,0/1,0,0,55/90,123/159,"$2,975,689","$4,658,071",Yuichi Sugita,Lukas Rosol
2019.07.01,London,Outdoor,Grass,77,0,24,(1,180,196,1,0,0,0,R,R,159,203,12/16,0/0,0,0,49/48,60/93,"$1,985,610","$2,181,301",Soonwoo Kwon,Daniel Brands
2019.07.01,London,Outdoor,Grass,154,91,28,23,183,183,0,0,0,0,R,R,178,165,2/4,8/8,0,0,26/49,48/55,"$1,636,709","$1,902,096",Dennis Novak,Mikael Ymer
2019.07.01,London,Outdoor,Grass,192,133,28,28,183,183,0,0,0,0,R,L,176,172,1/2,3/7,0,0,12/30,12/23,"$1,607,003","$1,369,163",Gregoire Barrere,Liam Broady
2019.07.01,London,Outdoor,Grass,89,222,26,27,180,183,0,0,0,0,R,R,173,172,12/11,0/1,0,0,25/37,1/4,"$1,792,016","$737,056",Kamil Majchrzak,Enzo Couacaud
2019.07.01,London,Outdoor,Grass,809,611,36,33,191,180,4,0,0,0,R,R,176,172,0/0,0/2,0,0,202/250,28/26,"$11,983,770","$946,784",Marcel Granollers,Attila Balazs
2019.07.01,London,Outdoor,Grass,263,374,29,27,185,193,0,0,0,0,R,R,176,186,0/1,0/1,0,0,19/44,4/19,"$1,919,295","$874,128",Salvatore Caruso,Brayden Schnur
2019.07.01,London,Outdoor,Grass,71,34,29,25,198,185,2,1,0,3,L,R,207,180,8/10,23/17,0,0,140/163,74/68,"$5,460,875","$3,092,308",Jiri Vesely,Tommy Paul
2019.07.01,London,Outdoor,Grass,72,236,28,24,183,180,0,0,0,0,L,R,172,139,11/11,3/2,0,0,66/90,7/6,"$2,483,692","$326,067",Thiago Monteiro,Yosuke Watanuki
2019.07.01,London,Outdoor,Grass,82,184,22,28,196,183,1,0,0,0,R,R,172,175,3/12,0/1,0,0,40/62,22/39,"$2,389,960","$1,562,054",Alexei Popyrin,Bjorn Fratangelo
2019.07.01,London,Outdoor,Grass,112,603,23,28,175,183,0,0,0,0,L,R,156,179,6/6,0/0,0,0,36/50,1/2,"$2,192,336","$350,005",Corentin Moutet,Andrew Harris
2019.07.01,London,Outdoor,Grass,126,89,38,26,188,180,7,0,1,0,L,R,198,173,4/7,12/11,0,0,558/438,25/37,"$18,136,660","$1,792,016",Fernando Verdasco,Kamil Majchrzak
2019.07.01,London,Outdoor,Grass,0,518,(1,29,188,196,18,4,4,0,R,R,205,201,2/6,0/0,0,0,467/237,186/182,"$22,458,018","$6,291,443",Jo-Wilfried Tsonga,Bernard Tomic
2019.07.01,London,Outdoor,Grass,0,97,38,26,180,170,4,1,1,0,R,L,176,141,0/0,5/10,0,0,288/257,80/103,"$8,616,024","$3,805,379",Janko Tipsarevic,Yoshihito Nishioka
2019.07.01,London,Outdoor,Grass,58,207,33,22,185,180,4,0,1,0,R,R,163,153,12/12,0/2,1,0,212/250,0/4,"$7,851,170","$231,769",Joao Sousa,Paul Jubb
2019.07.01,London,Outdoor,Grass,173,118,38,26,191,198,3,1,1,1,R,R,172,198,2/5,1/3,0,0,386/422,53/62,"$11,763,421","$2,282,706",Andreas Seppi,Nicolas Jarry
2019.07.01,London,Outdoor,Grass,343,243,30,29,188,183,1,0,1,0,R,R,195,172,0/3,0/0,0,0,47/75,11/26,"$3,454,806","$1,338,486",Tennys Sandgren,Yasutaka Uchiyama
2019.07.01,London,Outdoor,Grass,8,70,24,26,188,185,11,5,3,0,R,R,165,187,31/10,16/16,3,0,216/122,97/86,"$12,102,889","$4,824,894",Andrey Rublev,Cristian Garin
2019.07.01,London,Outdoor,Grass,82,23,22,31,196,188,1,6,1,0,R,R,172,172,3/12,21/16,0,0,40/62,251/200,"$2,389,960","$13,678,168",Alexei Popyrin,Pablo Carreno Busta
2019.07.01,London,Outdoor,Grass,17,202,24,31,211,180,4,0,2,0,R,L,225,154,20/14,1/1,2,0,88/83,32/50,"$4,198,775","$1,541,967",Reilly Opelka,Cedrik-Marcel Stebe
2019.07.01,London,Outdoor,Grass,11,449,26,35,188,185,4,2,1,0,L,R,181,189,32/16,1/1,2,0,135/101,230/266,"$7,012,074","$6,319,460",Cameron Norrie,Denis Istomin
2019.07.01,London,Outdoor,Grass,112,18,23,31,175,191,0,8,2,0,L,R,156,179,6/6,18/13,0,0,36/50,364/243,"$2,192,336","$21,498,490",Corentin Moutet,Grigor Dimitrov
2019.07.01,London,Outdoor,Grass,84,74,33,29,183,180,1,0,1,0,R,R,174,165,7/14,5/11,0,0,117/144,33/47,"$5,185,800","$1,554,024",John Millman,Hugo Dellien
2019.07.01,London,Outdoor,Grass,0,375,35,33,191,191,2,6,2,1,R,R,176,187,0/0,2/0,0,0,179/197,247/239,"$7,035,294","$7,649,959",Leonardo Mayer,Ernests Gulbis
2019.07.01,London,Outdoor,Grass,246,54,40,28,188,180,7,0,1,0,L,R,194,170,0/9,11/19,0,0,503/484,46/55,"$18,585,117","$2,311,726",Feliciano Lopez,Marcos Giron
2019.07.01,London,Outdoor,Grass,45,95,27,28,193,183,6,0,1,0,R,R,187,181,21/7,8/14,0,0,189/110,83/109,"$11,194,480","$4,027,008",Nick Kyrgios,Jordan Thompson
2019.07.01,London,Outdoor,Grass,213,94,34,36,183,180,1,4,1,1,R,R,159,176,1/7,7/11,0,0,172/229,161/236,"$6,720,550","$6,931,384",Mikhail Kukushkin,Pablo Andujar
2019.07.01,London,Outdoor,Grass,83,321,29,38,180,185,0,0,1,0,R,R,175,182,4/11,2/4,0,0,65/119,104/144,"$3,999,705","$4,016,044",Denis Kudla,Malek Jaziri
